Vendor id,expedia,Expedia Status
FR-75002-119,110135959,Stop Sold
FR-75002-120,110135928,Stop Sold
FR-75002-121,110135884,Stop Sold
FR-75002-122,110137452,Stop Sold
FR-75002-123,110135890,Stop Sold
FR-75002-124,110135898,Stop Sold
FR-75002-125,110136450,Stop Sold
FR-75002-126,110135945,Stop Sold
FR-75002-19,109681399,Stop Sold
FR-75002-20,109695982,Stop Sold
FR-75002-21,109680383,Stop Sold
FR-75002-23,109681006,Stop Sold
FR-75002-24,109681312,Stop Sold
FR-75002-25,109687677,Stop Sold
FR-75002-26,109687672,Stop Sold
FR-75002-27,109686788,Stop Sold
FR-75002-28,109689226,Stop Sold
FR-75002-30,109684594,Stop Sold
FR-75002-31,109686791,Stop Sold
FR-75002-40,109684738,Stop Sold
FR-75002-41,109911241,Stop Sold
FR-75002-43,109686681,Stop Sold
FR-75002-44,109688009,Stop Sold
FR-75002-45,109914190,Stop Sold
FR-75002-46,109684413,Stop Sold
FR-75002-47,109686787,Stop Sold
FR-75002-48,109689824,Stop Sold
FR-75002-50,109679769,Stop Sold
FR-75002-51,109680001,Stop Sold
FR-75002-52,109686891,Stop Sold
FR-75002-55,109688382,Stop Sold
FR-75002-56,109680223,Stop Sold
FR-75002-57,109684508,Stop Sold
FR-75002-58,109711362,Stop Sold
FR-75002-59,109680473,Stop Sold
FR-75002-60,110136359,Stop Sold
FR-75002-61,110137449,Stop Sold
FR-75002-62,110135976,Stop Sold
FR-75002-64,110138195,Stop Sold
FR-75002-65,110135967,Stop Sold
FR-75002-66,110136466,Stop Sold
FR-75002-68,110135908,Stop Sold
FR-75002-69,110137565,Stop Sold
FR-75002-70,110135880,Stop Sold
FR-75002-71,110137427,Stop Sold
FR-75002-72,110135955,Stop Sold
FR-75002-73,110135883,Stop Sold
FR-75002-74,110136560,Stop Sold
FR-75002-75,110137961,Stop Sold
FR-75002-76,110135966,Stop Sold
FR-75002-77,110135907,Stop Sold
FR-75002-79,110135885,Stop Sold
FR-75002-80,110136125,Stop Sold
FR-75002-81,110138222,Stop Sold
FR-75002-82,110135954,Stop Sold
FR-75002-83,110137378,Stop Sold
FR-75002-84,110137583,Stop Sold
FR-75002-85,110135978,Stop Sold
FR-75002-86,110135974,Stop Sold
FR-75002-87,110135952,Stop Sold
FR-75002-88,110135929,Stop Sold
FR-75002-89,110135927,Stop Sold
FR-75002-90,110137403,Stop Sold
FR-75002-91,110137089,Stop Sold
FR-75002-92,110138123,Stop Sold
FR-75002-93,110135887,Stop Sold
FR-75002-94,110137960,Stop Sold
FR-75002-95,110138548,Stop Sold
FR-75002-96,110135971,Stop Sold
FR-75002-97,110136553,Stop Sold
FR-75002-98,110135879,Stop Sold
FR-75002-99,110136152,Stop Sold
FR-75003-14,109690547,Stop Sold
FR-75003-15,109686128,Stop Sold
FR-75003-19,109695638,Stop Sold
FR-75003-20,109680347,Stop Sold
FR-75003-21,109680002,Stop Sold
FR-75003-23,109695946,Stop Sold
FR-75003-24,109680920,Stop Sold
FR-75003-25,109688184,Stop Sold
FR-75003-26,109679768,Stop Sold
FR-75003-27,109684737,Stop Sold
FR-75003-28,109675700,Stop Sold
FR-75003-29,109695363,Stop Sold
FR-75003-30,109686546,Stop Sold
FR-75003-32,109689806,Stop Sold
FR-75003-33,109695575,Stop Sold
FR-75003-34,110136070,Stop Sold
FR-75003-35,110135943,Stop Sold
FR-75003-37,110137127,Stop Sold
FR-75003-38,110135931,Stop Sold
FR-75003-39,110136687,Stop Sold
FR-75003-40,110135977,Stop Sold
FR-75003-41,110135960,Stop Sold
FR-75003-42,110137916,Stop Sold
FR-75003-43,110137987,Stop Sold
FR-75003-44,110137327,Stop Sold
FR-75003-45,110135939,Stop Sold
FR-75003-46,110137585,Stop Sold
FR-75003-47,110138749,Stop Sold
