uad|dgs|folder|archive_reference|record_title|language_title|language|dates|locality|record_type|volume|event_type
106940165|106940165|106940165_000001|Indices 9 1751–1862 - DGS(106940165)|Indices 9 1751–1862 - DGS(106940165)|ES|Español|1862/1862|San Bartolomé, Tinta, Tinta, Canchis, Cusco, Perú|Registros varios|9|Registros varios
106940166|106940166|106940166_000001|Bautismos S/N 18–30 sep 1977 - DGS(106940166)|Bautismos S/N 18–30 sep 1977 - DGS(106940166)|ES|Español|1977/1977|Santa Ana, Yauri, Espinar, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940167|106940167|106940167_000001|Bautismos S/N 8–29 mar 1964 - DGS(106940167)|Bautismos S/N 8–29 mar 1964 - DGS(106940167)|ES|Español|1964/1964|Santo Tomás, Santo Tomás, Santo Tomás, Chumbivilcas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940168|106940168|106940168_000001|Bautismos S/N 11 sep–23 oct 1967 - DGS(106940168)|Bautismos S/N 11 sep–23 oct 1967 - DGS(106940168)|ES|Español|1967/1967|Santo Tomás, Santo Tomás, Santo Tomás, Chumbivilcas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940169|106940169|106940169_000001|Bautismos S/N 17 dic 1967–10 may 1968 - DGS(106940169)|Bautismos S/N 17 dic 1967–10 may 1968 - DGS(106940169)|ES|Español|1968/1968|Santo Tomás, Santo Tomás, Santo Tomás, Chumbivilcas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940170|106940170|106940170_000001|Bautismos S/N 27 abr–31 ago 1980 - DGS(106940170)|Bautismos S/N 27 abr–31 ago 1980 - DGS(106940170)|ES|Español|1980/1980|Inmaculada Concepción, Checacupe, Checacupe, Canchis, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940171|106940171|106940171_000001|Bautismos S/N 6–10 sep 1967 - DGS(106940171)|Bautismos S/N 6–10 sep 1967 - DGS(106940171)|ES|Español|1968/1968|Santo Tomás, Santo Tomás, Santo Tomás, Chumbivilcas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940172|106940172|106940172_000001|Bautismos S/N 15–29 abr 1962 - DGS(106940172)|Bautismos S/N 15–29 abr 1962 - DGS(106940172)|ES|Español|1962/1962|Santo Tomás, Santo Tomás, Santo Tomás, Chumbivilcas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940173|106940173|106940173_000001|Bautismos S/N 28 nov–20 dic 1964 - DGS(106940173)|Bautismos S/N 28 nov–20 dic 1964 - DGS(106940173)|ES|Español|1964/1964|Santa Ana, Yauri, Espinar, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940174|106940174|106940174_000001|Bautismos S/N 11 mar–15 abr 1962 - DGS(106940174)|Bautismos S/N 11 mar–15 abr 1962 - DGS(106940174)|ES|Español|1962/1962|Santo Tomás, Santo Tomás, Santo Tomás, Chumbivilcas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940175|106940175|106940175_000001|Bautismos S/N 19 oct–26 nov 1969 - DGS(106940175)|Bautismos S/N 19 oct–26 nov 1969 - DGS(106940175)|ES|Español|1964/1964|Santa Ana, Yauri, Espinar, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940176|106940176|106940176_000001|Bautismos S/N 14–16 ago 1964 - DGS(106940176)|Bautismos S/N 14–16 ago 1964 - DGS(106940176)|ES|Español|1964/1964|Santa Ana, Yauri, Espinar, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940177|106940177|106940177_000001|Bautismos S/N 31 jul–16 ago 1977 - DGS(106940177)|Bautismos S/N 31 jul–16 ago 1977 - DGS(106940177)|ES|Español|1977/1977|Santa Ana, Yauri, Espinar, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940178|106940178|106940178_000001|Bautismos S/N 16 ago–18 sep 1977 - DGS(106940178)|Bautismos S/N 16 ago–18 sep 1977 - DGS(106940178)|ES|Español|1977/1977|Santa Ana, Yauri, Espinar, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940179|106940179|106940179_000001|Bautismos S/N 6–19 ene 1964 - DGS(106940179)|Bautismos S/N 6–19 ene 1964 - DGS(106940179)|ES|Español|1964/1964|Santa Ana, Yauri, Espinar, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
