Provider,Provider Property ID,Expedia ID,,Property Manager,Name,Country Code,Public Code,Reason Codes,Messages,Is Live,Meets Go Live Requirements,Regulatory Compliant,Images,Images Minimum,Images Found,Amenities,Amenities Minimum,Amenities Found,Amenities Missing,Special Check-In Instructions,Property Contact,Business Model,Number of Bedrooms,Number of Bathrooms,Taxes,Property Name,Phone,Geo-Coordinates,Address,Structure Type,Currency,Active Products,Active Products Minimum,Active Products Found,Sufficient Inventory,Sufficient Inventory Minimum,Sufficient Inventory Found
Avantio,f18ce36f-f55c-49e5-a9d9-e003364e016c,106957820,106957820,RENTERS,Business Apartment Parking by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,33,N/A,,,,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,40
Avantio,f5226e7d-2708-440b-acda-bce17cffc472,106957733,106957733,RENTERS,Apartment Warsaw Królewska by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,33,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,42
Avantio,5b9f3bbb-7e6e-4ae3-b603-fe347ca59114,107212799,107212799,RENTERS,Ludna Apartment Vistula River by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,32,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,41
Avantio,2c8d43dd-bf21-400b-b3b4-7f0adc0a22ee,107174324,107174324,RENTERS,Apartment at the Market by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,20,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,38
Avantio,972ea8ee-a2c4-409f-88e0-73f65e8e23c2,106866278,106866278,RENTERS,Blisko Plaży nad Wisłą by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,25,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,45
Avantio,9c7bbce1-f31e-448b-a6ba-3ec49fc4377f,107480897,107480897,RENTERS,Apartment with parking by Renters,POL,OnboardingSucceeded,,,FALSE,FALSE,N/A,TRUE,6,28,TRUE,13,13,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
Avantio,b4f5b7cf-3386-4040-b81d-621703e1badb,107141719,107141719,RENTERS,Modern Apartment by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,30,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,44
Avantio,ecb8b73e-5841-457e-a274-fe6b65a9c502,107092345,107092345,RENTERS,Sopot 3 Bedroom Apartment by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,20,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
Avantio,a1dbc7c6-d363-4531-8a0c-74b2b29f3f87,106664572,106664572,RENTERS,City Panorama by Renters Prestige,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,13,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,24
Avantio,d0718b40-82c9-4143-bdc8-24da4a353cc2,105628280,105628280,RENTERS,Cozy apartment in the center by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,29,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
Avantio,e8d41497-c600-45b6-8620-e8a92ecb8dfe,107046563,107046563,RENTERS,Apartport Apartment with A/C by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,41,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,41
