Expedia ID,Name,Regulatory Compliant,Images,Number of Bedrooms,Number of Bathrooms,Active Products,Sufficient Inventory
102843520,Sosuite   1BR Apt Acc  w W D  Gym  Lounge,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102714585,Coach House Studio in Leeds,N/A,FALSE,TRUE,TRUE,TRUE,TRUE
102714584,Coach House Stables in Leeds,N/A,FALSE,TRUE,TRUE,TRUE,TRUE
102843496,Sosuite   1BR Loft w W D  Gym  Lounge,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102714581,Claremont  The Waterhouse,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
102843714,Sosuite   2BR Penthouse w W D  Gym  On-Site Bar,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102565596,Villa Petra in Plakias,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
102565608,Villa Iris in Mariou,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
102102342,Mon4    Dreamstays under Parthenon s shadow,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
102102340,Pristine penthouse with a spacious balcony   view,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
101943398,Columbia Heights Home   METRO   Shopping   Parking,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
105112469,Spanish Water Apartments - Terrace,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
102565594,Villa Meraki in Mariou,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
101943397,Heart Of Dupont   Walk to Georgetown,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
101943395,H St  DC Streetcar  Union Station   DC Convenience,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
101943245,Quintessential Georgetown Homestay   Wisconsin Ave,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
101936609,Island Paradise Suite - 2Br Condo  Sleeps 8 ,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
103373370,Lovely 3 bed Home  Battersea,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
103373191,Cosy 1-bed Battersea Riverside Apartment,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
103373369,Beautiful 3 Bed Home  Earls Court,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
103212459,Villa Elisia - villetta con piscina privata,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
103212456,Villa Bonaccorso Casale-Splendida villa immersa nella natura ai piedi dell Etna,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
103212440,Casa Rubino - confortevole casa con ampio spazio esterno e piscina privata,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
103373341,Fulham Palace in Greater London,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
