uad|dgs|folder|archive_reference|record_title|language_title|language|dates|locality|record_type|volume|event_type|
106939940|106939940|106939940_000001|Defunciones_5_9 mar 1824–aprox. 22 ago 1832,Vol 5 - DGS(106939940)|Defunciones_5_9 mar 1824–aprox. 22 ago 1832,Vol 5 - DGS(106939940)|ES|Español|1834|Inmaculada Concepción, Chamaca, Chamaca, Chumbivilcas, Cusco, Perú|Defunciones parroquiales|Vol 5|Defunciones parroquiales-mar 1824—ago 1834|
106939941|106939941|106939941_000001|Defunciones_6_6 may 1841–aprox. 10 mar 1872,Vol 6 - DGS(106939941)|Defunciones_6_6 may 1841–aprox. 10 mar 1872,Vol 6 - DGS(106939941)|ES|Español|1872|Inmaculada Concepción, Chamaca, Chamaca, Chumbivilcas, Cusco, Perú|Defunciones parroquiales|Vol 6|Defunciones parroquiales-may 1841—mar 1872|
106939942|106939942|106939942_000001|Defunciones_1_1661–1698,Vol 1 - DGS(106939942)|Defunciones_1_1661–1698,Vol 1 - DGS(106939942)|ES|Español|1698|Inmaculada Concepción, Colquemarca, Colquemarca, Chumbivilcas, Cusco, Perú|Defunciones parroquiales|Vol 1|Defunciones parroquiales-oct 1661—oct 1698|
106939943|106939943|106939943_000001|Defunciones_2_aprox. 24 mar 1709–aprox. 11 feb 1729,Vol 2 - DGS(106939943)|Defunciones_2_aprox. 24 mar 1709–aprox. 11 feb 1729,Vol 2 - DGS(106939943)|ES|Español|1727|Inmaculada Concepción, Colquemarca, Colquemarca, Chumbivilcas, Cusco, Perú|Defunciones parroquiales|Vol 2|Defunciones parroquiales-mar 1709—nov 1727|
106939944|106939944|106939944_000001|Defunciones_3_aprox. 1790–aprox. 1803,Vol 3 - DGS(106939944)|Defunciones_3_aprox. 1790–aprox. 1803,Vol 3 - DGS(106939944)|ES|Español|1803|Inmaculada Concepción, Colquemarca, Colquemarca, Chumbivilcas, Cusco, Perú|Defunciones parroquiales|Vol 3|Defunciones parroquiales-ene 1791—abr 1803|
106939945|106939945|106939945_000001|Defunciones_4_1804–aprox. 1818,Vol 4 - DGS(106939945)|Defunciones_4_1804–aprox. 1818,Vol 4 - DGS(106939945)|ES|Español|1818|Inmaculada Concepción, Colquemarca, Colquemarca, Chumbivilcas, Cusco, Perú|Defunciones parroquiales|Vol 4|Defunciones parroquiales-sept 1804—ago 1818|
106939946|106939946|106939946_000001|Defunciones_5_1818–aprox. 1829,Vol 5 - DGS(106939946)|Defunciones_5_1818–aprox. 1829,Vol 5 - DGS(106939946)|ES|Español|1824|Inmaculada Concepción, Colquemarca, Colquemarca, Chumbivilcas, Cusco, Perú|Defunciones parroquiales|Vol 5|Defunciones parroquiales-jun 1729—ago 1824|
106939947|106939947|106939947_000001|Defunciones_6_1869–aprox. 1877,Vol 6 - DGS(106939947)|Defunciones_6_1869–aprox. 1877,Vol 6 - DGS(106939947)|ES|Español|1921|Inmaculada Concepción, Colquemarca, Colquemarca, Chumbivilcas, Cusco, Perú|Defunciones parroquiales|Vol 6|Defunciones parroquiales-ene 1869—ago 1921|
106939948|106939948|106939948_000001|Defunciones_vol. 1_1648–aprox. 1699,vol. 1 - DGS(106939948)|Defunciones_vol. 1_1648–aprox. 1699,vol. 1 - DGS(106939948)|ES|Español|1699|Inmaculada Concepción, Colquemarca, Colquemarca, Chumbivilcas, Cusco, Perú|Registros de donativos de feligreses|vol. 1|Registros de donativos de feligreses-1648—1699|
106939949|106939949|106939949_000001|Defunciones_vol. 2_1687–aprox. 1742,vol. 2 - DGS(106939949)|Defunciones_vol. 2_1687–aprox. 1742,vol. 2 - DGS(106939949)|ES|Español|1744|Inmaculada Concepción, Colquemarca, Colquemarca, Chumbivilcas, Cusco, Perú|Registros de donativos de feligreses|vol. 2|Registros de donativos de feligreses-oct 1687—dic 1744|
106939950|106939950|106939950_000001|Indices_1 - 3_1713–1836,1 - 3 - DGS(106939950)|Indices_1 - 3_1713–1836,1 - 3 - DGS(106939950)|ES|Español|1836|Virgen Purificada, Surimana, Túpac Amaru, Canas, Cusco, Perú|Índices de defunciones parroquiales|1 - 3|Índices de defunciones parroquiales-1728—1836|
106939951|106939951|106939951_000001|Indices_1 - 3_1771–1894,1 - 3 - DGS(106939951)|Indices_1 - 3_1771–1894,1 - 3 - DGS(106939951)|ES|Español|1894|Santo Tomás, Santo Tomás, Chumbivilcas, Cusco, Perú|Índices de bautismos|1 - 3|Índices de bautismos-1771—1894|
106939952|106939952|106939952_000001|Indices_4 - 5_1740–1895,4 - 5 - DGS(106939952)|Indices_4 - 5_1740–1895,4 - 5 - DGS(106939952)|ES|Español|1895|Santo Tomás, Santo Tomás, Chumbivilcas, Cusco, Perú|Índices de matrimonios parroquiales|4 - 5|Índices de matrimonios parroquiales-1740—1895|
106939953|106939953|106939953_000001|Indices_1 - 4_1702–1892,1 - 4 - DGS(106939953)|Indices_1 - 4_1702–1892,1 - 4 - DGS(106939953)|ES|Español|1892|Asunción, Capacmarca, Capacmarca, Chumbivilcas, Cusco, Perú|Índices de bautismos|1 - 4|Índices de bautismos-1702—1892|
