uad|dgs|folder|archive_reference|record_title|language_title|language|dates|locality|record_type|volume|event_type
112220157|112220157|112220157_000001|Bautismos 1957 - DGS(112220157)|Bautismos 1957 - DGS(112220157)|ES|Español|1957/1957|Santa Rosa, Callao, Callao, Perú|Bautizo|48|Bautizo
112220235|112220235|112220235_000001|Bautismos 1956 - DGS(112220235)|Bautismos 1956 - DGS(112220235)|ES|Español|1956/1956|Santa Rosa, Callao, Callao, Perú|Bautizo|47|Bautizo
112220317|112220317|112220317_000001|Bautismos 1955 - DGS(112220317)|Bautismos 1955 - DGS(112220317)|ES|Español|1955/1955|Santa Rosa, Callao, Callao, Perú|Bautizo|46|Bautizo
112220379|112220379|112220379_000001|Bautismos 1954 - DGS(112220379)|Bautismos 1954 - DGS(112220379)|ES|Español|1954/1954|Santa Rosa, Callao, Callao, Perú|Bautizo|45|Bautizo
112220409|112220409|112220409_000001|Bautismos 1953 - DGS(112220409)|Bautismos 1953 - DGS(112220409)|ES|Español|1953/1953|Santa Rosa, Callao, Callao, Perú|Bautizo|44|Bautizo
112220447|112220447|112220447_000001|Bautismos 1951 - DGS(112220447)|Bautismos 1951 - DGS(112220447)|ES|Español|1951/1951|Santa Rosa, Callao, Callao, Perú|Bautizo|42|Bautizo
112220462|112220462|112220462_000001|Informaciones matrimoniales 1956 - DGS(112220462)|Informaciones matrimoniales 1956 - DGS(112220462)|ES|Español|1956/1956|Santa Rosa, Callao, Callao, Perú|Matrimonio|11-12|Matrimonio
112220492|112220492|112220492_000001|Informaciones matrimoniales 1956 - DGS(112220492)|Informaciones matrimoniales 1956 - DGS(112220492)|ES|Español|1956/1956|Santa Rosa, Callao, Callao, Perú|Matrimonio|10-12|Matrimonio
112220516|112220516|112220516_000001|Informaciones matrimoniales 1956 - DGS(112220516)|Informaciones matrimoniales 1956 - DGS(112220516)|ES|Español|1956/1956|Santa Rosa, Callao, Callao, Perú|Matrimonio|9-12|Matrimonio
112220534|112220534|112220534_000001|Informaciones matrimoniales 1955 - DGS(112220534)|Informaciones matrimoniales 1955 - DGS(112220534)|ES|Español|1955/1955|Santa Rosa, Callao, Callao, Perú|Matrimonio|8-12|Matrimonio
