uad|dgs|folder|archive_reference|record_title|language_title|language|dates|locality|record_type|volume|event_type|
112022491|112022491|112022491_000001|Expedientes para la inscripción tardía de bautismos_2013,- - DGS(112022491)|Expedientes para la inscripción tardía de bautismos_2013,- - DGS(112022491)|ES|Español|2013|Diócesis del Callao, Perú|Expedientes para la inscripción tardía de bautismos|-|Expedientes para la inscripción tardía de bautismos-2012—2013|
112022531|112022531|112022531_000001|Expedientes para la inscripción tardía de bautismos_2012,- - DGS(112022531)|Expedientes para la inscripción tardía de bautismos_2012,- - DGS(112022531)|ES|Español|2012|Diócesis del Callao, Perú|Expedientes para la inscripción tardía de bautismos|-|Expedientes para la inscripción tardía de bautismos-2012|
112022559|112022559|112022559_000001|Expedientes para la inscripción tardía de bautismos_2011,- - DGS(112022559)|Expedientes para la inscripción tardía de bautismos_2011,- - DGS(112022559)|ES|Español|2011|Diócesis del Callao, Perú|Expedientes para la inscripción tardía de bautismos|-|Expedientes para la inscripción tardía de bautismos-2011|
112022587|112022587|112022587_000001|Expedientes para la inscripción tardía de bautismos_2010,- - DGS(112022587)|Expedientes para la inscripción tardía de bautismos_2010,- - DGS(112022587)|ES|Español|2010|Diócesis del Callao, Perú|Expedientes para la inscripción tardía de bautismos|-|Expedientes para la inscripción tardía de bautismos-2010|
112022638|112022638|112022638_000001|Expedientes para la inscripción tardía de bautismos_2009,- - DGS(112022638)|Expedientes para la inscripción tardía de bautismos_2009,- - DGS(112022638)|ES|Español|2009|Diócesis del Callao, Perú|Expedientes para la inscripción tardía de bautismos|-|Expedientes para la inscripción tardía de bautismos-2009|
112022673|112022673|112022673_000001|Expedientes para la inscripción tardía de bautismos_2008,- - DGS(112022673)|Expedientes para la inscripción tardía de bautismos_2008,- - DGS(112022673)|ES|Español|2008|Diócesis del Callao, Perú|Expedientes para la inscripción tardía de bautismos|-|Expedientes para la inscripción tardía de bautismos-2008|
112022720|112022720|112022720_000001|Expedientes para la inscripción tardía de bautismos_2008,- - DGS(112022720)|Expedientes para la inscripción tardía de bautismos_2008,- - DGS(112022720)|ES|Español|2008|Diócesis del Callao, Perú|Expedientes para la inscripción tardía de bautismos|-|Expedientes para la inscripción tardía de bautismos-ene 2007—abr 2008|
112022775|112022775|112022775_000001|Expedientes para la inscripción tardía de bautismos_2007,- - DGS(112022775)|Expedientes para la inscripción tardía de bautismos_2007,- - DGS(112022775)|ES|Español|2007|Diócesis del Callao, Perú|Expedientes para la inscripción tardía de bautismos|-|Expedientes para la inscripción tardía de bautismos-ene 2006—may 2007|
112022836|112022836|112022836_000001|Expedientes para la inscripción tardía de bautismos_2005,- - DGS(112022836)|Expedientes para la inscripción tardía de bautismos_2005,- - DGS(112022836)|ES|Español|2005|Diócesis del Callao, Perú|Expedientes para la inscripción tardía de bautismos|-|Expedientes para la inscripción tardía de bautismos-2005|
112022875|112022875|112022875_000001|Expedientes para la inscripción tardía de bautismos_2004,- - DGS(112022875)|Expedientes para la inscripción tardía de bautismos_2004,- - DGS(112022875)|ES|Español|2004|Diócesis del Callao, Perú|Expedientes para la inscripción tardía de bautismos|-|Expedientes para la inscripción tardía de bautismos-2004|
112022974|112022974|112022974_000001|Expedientes para la inscripción tardía de bautismos_2003,- - DGS(112022974)|Expedientes para la inscripción tardía de bautismos_2003,- - DGS(112022974)|ES|Español|2003|Diócesis del Callao, Perú|Expedientes para la inscripción tardía de bautismos|-|Expedientes para la inscripción tardía de bautismos-2002—2003|
112022989|112022989|112022989_000001|Expedientes para la inscripción tardía de bautismos_2001,- - DGS(112022989)|Expedientes para la inscripción tardía de bautismos_2001,- - DGS(112022989)|ES|Español|2001|Diócesis del Callao, Perú|Expedientes para la inscripción tardía de bautismos|-|Expedientes para la inscripción tardía de bautismos-2001|
112023027|112023027|112023027_000001|Expedientes para la inscripción tardía de bautismos_2000,- - DGS(112023027)|Expedientes para la inscripción tardía de bautismos_2000,- - DGS(112023027)|ES|Español|2000|Diócesis del Callao, Perú|Expedientes para la inscripción tardía de bautismos|-|Expedientes para la inscripción tardía de bautismos-2000|
112023079|112023079|112023079_000001|Expedientes para la inscripción tardía de bautismos_1999,- - DGS(112023079)|Expedientes para la inscripción tardía de bautismos_1999,- - DGS(112023079)|ES|Español|1999|Diócesis del Callao, Perú|Expedientes para la inscripción tardía de bautismos|-|Expedientes para la inscripción tardía de bautismos-1998—1999|
112023160|112023160|112023160_000001|Expedientes para la inscripción tardía de bautismos_1997,- - DGS(112023160)|Expedientes para la inscripción tardía de bautismos_1997,- - DGS(112023160)|ES|Español|1997|Diócesis del Callao, Perú|Expedientes para la inscripción tardía de bautismos|-|Expedientes para la inscripción tardía de bautismos-1997|
112023311|112023311|112023311_000001|Expedientes para la inscripción tardía de bautismos_1996,- - DGS(112023311)|Expedientes para la inscripción tardía de bautismos_1996,- - DGS(112023311)|ES|Español|1996|Diócesis del Callao, Perú|Expedientes para la inscripción tardía de bautismos|-|Expedientes para la inscripción tardía de bautismos-1995—1996|
112023350|112023350|112023350_000001|Expedientes para la inscripción tardía de bautismos_1993,- - DGS(112023350)|Expedientes para la inscripción tardía de bautismos_1993,- - DGS(112023350)|ES|Español|1993|Diócesis del Callao, Perú|Expedientes para la inscripción tardía de bautismos|-|Expedientes para la inscripción tardía de bautismos-1992—1993|
112023366|112023366|112023366_000001|Bautismos de adultos_2012,- - DGS(112023366)|Bautismos de adultos_2012,- - DGS(112023366)|ES|Español|2012|Diócesis del Callao, Perú|Bautismos de adultos|-|Bautismos de adultos-2012|
112023391|112023391|112023391_000001|Bautismos de adultos_2012,- - DGS(112023391)|Bautismos de adultos_2012,- - DGS(112023391)|ES|Español|2012|Diócesis del Callao, Perú|Bautismos de adultos|-|Bautismos de adultos-2012|
112023493|112023493|112023493_000001|Bautismos de adultos_2011,- - DGS(112023493)|Bautismos de adultos_2011,- - DGS(112023493)|ES|Español|2011|Diócesis del Callao, Perú|Bautismos de adultos|-|Bautismos de adultos-2011|
