uad|dgs|folder|archive_reference|record_title|language_title|language|dates|locality|record_type|volume|event_type|
106549875|106549875|106549875_000001|Bautismos_6_27 jun 2008–19 sep 2015,Vol 6 - DGS(106549875)|Bautismos_6_27 jun 2008–19 sep 2015,Vol 6 - DGS(106549875)|ES|Español|2015|Samegua, Samegua, Mariscal Nieto, Moquegua, Perú|Bautismos|Vol 6|Bautismos-jun 2008—sept 2015|
106549876|106549876|106549876_000001|Bautismos_7_19 sep 2015–16 feb 2019,Vol 7 - DGS(106549876)|Bautismos_7_19 sep 2015–16 feb 2019,Vol 7 - DGS(106549876)|ES|Español|2019|Samegua, Samegua, Mariscal Nieto, Moquegua, Perú|Bautismos|Vol 7|Bautismos-sept 2015—feb 2019|
106549877|106549877|106549877_000001|Bautismos_1_24 ene 1999–19 feb 2012,Vol 1 - DGS(106549877)|Bautismos_1_24 ene 1999–19 feb 2012,Vol 1 - DGS(106549877)|ES|Español|2012|San Francisco, General Sánchez Cerro, Moquegua, Perú|Bautismos|Vol 1|Bautismos-1999—2012|
106549878|106549878|106549878_000001|Bautismos_2_19 feb 2012–18 may 2019,Vol 2 - DGS(106549878)|Bautismos_2_19 feb 2012–18 may 2019,Vol 2 - DGS(106549878)|ES|Español|2019|San Francisco, General Sánchez Cerro, Moquegua, Perú|Bautismos|Vol 2|Bautismos-2012—2019|
106549879|106549879|106549879_000001|Confirmaciones_2_13 dic 2008–2 dic 2018,Vol 2 - DGS(106549879)|Confirmaciones_2_13 dic 2008–2 dic 2018,Vol 2 - DGS(106549879)|ES|Español|2018|Samegua, Samegua, Mariscal Nieto, Moquegua, Perú|Confirmaciones|Vol 2|Confirmaciones-dic 2008—dic 2018|
106549880|106549880|106549880_000001|Confirmaciones_1_14 dic 2008–27 sep 2013,Vol 1 - DGS(106549880)|Confirmaciones_1_14 dic 2008–27 sep 2013,Vol 1 - DGS(106549880)|ES|Español|2013|San Francisco, General Sánchez Cerro, Moquegua, Perú|Confirmaciones|Vol 1|Confirmaciones-2008—2013|
106549881|106549881|106549881_000001|Confirmaciones_2_1 nov 2013–2 dic 2018,Vol 2 - DGS(106549881)|Confirmaciones_2_1 nov 2013–2 dic 2018,Vol 2 - DGS(106549881)|ES|Español|2018|San Francisco, General Sánchez Cerro, Moquegua, Perú|Confirmaciones|Vol 2|Confirmaciones-2013—2018|
106549882|106549882|106549882_000001|Matrimonios_1_20 abr 2002–2 mar 2019,Vol 1 - DGS(106549882)|Matrimonios_1_20 abr 2002–2 mar 2019,Vol 1 - DGS(106549882)|ES|Español|2019|San Francisco, General Sánchez Cerro, Moquegua, Perú|Matrimonios parroquiales|Vol 1|Matrimonios parroquiales-2002—2019|
106549883|106549883|106549883_000001|Matrimonios_1_10 may 2009–18 may 2019,Vol 1 - DGS(106549883)|Matrimonios_1_10 may 2009–18 may 2019,Vol 1 - DGS(106549883)|ES|Español|2019|Chen Chen, Moquegua, Mariscal Nieto, Moquegua, Perú|Matrimonios parroquiales|Vol 1|Matrimonios parroquiales-may 2009—may 2019|
106550012|106550012|106550012_000001|Bautismos_1_8 mar 2009–11 may 2019,Vol 1 - DGS(106550012)|Bautismos_1_8 mar 2009–11 may 2019,Vol 1 - DGS(106550012)|ES|Español|2019|Chen Chen, Moquegua, Mariscal Nieto, Moquegua, Perú|Bautismos|Vol 1|Bautismos-mar 2009—may 2019|
106550013|106550013|106550013_000001|Confirmaciones_1_29 jun 2009–2 dic 2018,Vol 1 - DGS(106550013)|Confirmaciones_1_29 jun 2009–2 dic 2018,Vol 1 - DGS(106550013)|ES|Español|2018|Chen Chen, Moquegua, Mariscal Nieto, Moquegua, Perú|Confirmaciones|Vol 1|Confirmaciones-jun 2009—dic 2018|
106550014|106550014|106550014_000001|Matrimonios_1_18 ene 1997–20 abr 2019,Vol 1 - DGS(106550014)|Matrimonios_1_18 ene 1997–20 abr 2019,Vol 1 - DGS(106550014)|ES|Español|2019|Moquegua, Moquegua, Mariscal Nieto, Moquegua, Perú|Matrimonios parroquiales|Vol 1|Matrimonios parroquiales-ene 1997—abr 2019|
