Provider Property ID,Expedia ID,Name,Regulatory Compliant,Images,Number of Bedrooms,Number of Bathrooms,Active Products,Sufficient Inventory
735559,103730831,Park-View Pool  Villa,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
735562,103730822,Villa Vedema in Kissamos,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
736314,103209436,Christina s - Daphnus Apartment Agios Konstantinos,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
736808,103114388,Villa VerdeBlu Rethymno Crete,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
720762,103114366,Melody house in Roustika,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
720775,103114361,Near the beach Old Town Rethymno,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
735520,102704247,White House Mews Property,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
729737,102157210,Diogenis Villa Kefalonia,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
735783,103475982,Apartment Zina Pelion,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
727070,101937692,Seahorse - Cycladic Home,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
736523,103475979,Afissos Seaside Cottage,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
727066,101937691,Relax   Joy Villa - 1  walk to Koundouros beach,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
731552,103475983,Venia House Marathos,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
736613,103475974,Hara s  House  Pelion,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
