EID,Property Name,Brand ID,Brand Name,Active / Inactive,Deleted
108558773,Mamo Florence - Station Family Apartment,11896,VR_PM Etesian,TRUE,FALSE
53905254,Mamo Florence - Secondino Apartment,11896,VR_PM Etesian,TRUE,FALSE
108558716,Mamo Florence - Charlize Apartment,11896,VR_PM Etesian,TRUE,FALSE
108558759,Mamo Florence - San Niccolò Apartment,11896,VR_PM Etesian,TRUE,FALSE
108558722,Mamo Florence - Dante & Virgilio Apartments,11896,VR_PM Etesian,TRUE,FALSE
108558707,Mamo Florence - Audrey Apartment,11896,VR_PM Etesian,TRUE,FALSE
53905261,Mamo Florence – Freedom Apartments,11896,VR_PM Etesian,TRUE,FALSE
108558711,Mamo Florence - Borgo Apartment,11896,VR_PM Etesian,TRUE,FALSE
108558763,Mamo Florence - Sophia Apartment,11896,VR_PM Etesian,TRUE,FALSE
108558770,Mamo Florence - Vanni Apartment,11896,VR_PM Etesian,TRUE,FALSE
106220456,Mamo Florence - Frida Luxury Apartment,11896,VR_PM Etesian,TRUE,FALSE
107712592,Mamo Florence - Sant'Agostino Luxury Apartment,11896,VR_PM Etesian,TRUE,FALSE
106220443,Mamo Florence - Alamanni Apartment,11896,VR_PM Etesian,TRUE,FALSE
53905236,Mamo Florence - Espresso Apartment,11896,VR_PM Etesian,TRUE,FALSE
53905224,Mamo Florence - Boheme Apartment,11896,VR_PM Etesian,TRUE,FALSE
108558706,Mamo Florence - Anita Apartment,11896,VR_PM Etesian,TRUE,FALSE
107712584,Mamo Florence - Toscanella Apartment,11896,VR_PM Etesian,TRUE,FALSE
53905253,Mamo Florence – Neri22 Apartments,11896,VR_PM Etesian,TRUE,FALSE
111017865,Mamo Florence - Vespucci Apartment,11896,VR_PM Etesian,TRUE,FALSE
119464546,Farinata Apartment by Mamo Florence,11896,VR_PM Etesian,TRUE,FALSE
119463962,Nerone Apartment by Mamo Florence,11896,VR_PM Etesian,TRUE,FALSE
106220451,Mamo Florence - Conce Apartment,11896,VR_PM Etesian,TRUE,FALSE
108558736,Mamo Florence - Macci Apartment,11896,VR_PM Etesian,TRUE,FALSE
108558738,Mamo Florence - Magenta Apartment,11896,VR_PM Etesian,TRUE,FALSE
107712573,Mamo Florence - Monte Croci Apartment,11896,VR_PM Etesian,TRUE,FALSE
107712570,Mamo Florence - Magazzini Apartment,11896,VR_PM Etesian,TRUE,FALSE
108558745,Mamo Florence - Parione Apartment,11896,VR_PM Etesian,TRUE,FALSE
53905226,Mamo Florence - Costa San Giorgio Apartment,11896,VR_PM Etesian,TRUE,FALSE
107712582,Mamo Florence - Servi Apartment,11896,VR_PM Etesian,TRUE,FALSE
108558774,Mamo Florence - Cavour Rosa Apartment,11896,VR_PM Etesian,TRUE,FALSE
119205071,Landino Apartment by Mamo Florence,11896,VR_PM Etesian,TRUE,FALSE
53905229,Mamo Florence - Cupolone Apartment,11896,VR_PM Etesian,TRUE,FALSE
107712587,Mamo Florence - Woodie Apartment,11896,VR_PM Etesian,TRUE,FALSE
