"Provider","Property Manager","Provider Property ID","Expedia ID","Name","Country Code","Public Code","Code","Reason Codes","Messages","In-process Time","Timestamp (UTC)","Onboarding Start (UTC)","Onboarding End (UTC)","Time to Onboard"
"RentalsUnited","Livily","4204841","126961451","Karaoke, Hot Tub, 1GB WiFi - The Rock House - LUX","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:17.005Z","2026-03-02T04:20:38.164Z","2026-03-02T04:21:17.005Z","00:00:38.8411936"
"RentalsUnited","Livily","4204834","126961450","Hot Tub & WiFi - Angel's View - Red River Gorge KY","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:15.005Z","2026-03-02T04:20:38.352Z","2026-03-02T04:21:15.005Z","00:00:36.6533939"
"RentalsUnited","Livily","4204766","126961453","Grace Place","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:20.006Z","2026-03-02T04:20:40.493Z","2026-03-02T04:21:20.006Z","00:00:39.5138104"
"RentalsUnited","Livily","4205009","126961456","Gym, Pool, WasherDryer, WorkerFriendly A+Location","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:25.01Z","2026-03-02T04:20:47.442Z","2026-03-02T04:21:25.01Z","00:00:37.5682347"
"RentalsUnited","Livily","4208957","126961458","Ironwood 1121","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:28.004Z","2026-03-02T04:20:47.521Z","2026-03-02T04:21:28.004Z","00:00:40.4839759"
"RentalsUnited","Livily","4205288","126961457","✵ Walkout Beachfront Condo: Pointes North Resort | 106","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:24.006Z","2026-03-02T04:20:47.947Z","2026-03-02T04:21:24.006Z","00:00:36.0591160"
"RentalsUnited","Livily","4209447","126961459","Sea La Vie Villa 3BD Beach Retreat | fence yard","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:26.005Z","2026-03-02T04:20:48.511Z","2026-03-02T04:21:26.005Z","00:00:37.4941933"
"RentalsUnited","Livily","4216262","126961461","Worker friendly, A+ Location, Warm and Cozy","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:26.006Z","2026-03-02T04:20:49.073Z","2026-03-02T04:21:26.006Z","00:00:36.9335491"
"RentalsUnited","Livily","4214583","126961460","River Crossing 811","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:26.006Z","2026-03-02T04:20:49.924Z","2026-03-02T04:21:26.006Z","00:00:36.0821808"
"RentalsUnited","Livily","4215864","126961462","Modern WorkFriendly Retreat w/ Fast WiFi+Gym-Lndry","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:27.004Z","2026-03-02T04:20:50.09Z","2026-03-02T04:21:27.004Z","00:00:36.9149098"
"RentalsUnited","Livily","4241481","126961468","Marbella Lane - 4BR Alluring Home","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:38.005Z","2026-03-02T04:20:56.699Z","2026-03-02T04:21:38.005Z","00:00:41.3063165"
"RentalsUnited","Livily","4241484","126961473","Lakefront Big Bass Lake Dock Games","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:35.004Z","2026-03-02T04:20:57.066Z","2026-03-02T04:21:35.004Z","00:00:37.9387782"
"RentalsUnited","Livily","4216383","126961469","WorkerFriendly,KINGbed,A+Location,Washer,Wifi,Pool","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:35.004Z","2026-03-02T04:20:57.084Z","2026-03-02T04:21:35.004Z","00:00:37.9200512"
"RentalsUnited","Livily","4241505","126961472","4BDRM * Games * Family Frndly* Fire Pit * Masthope","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:35.004Z","2026-03-02T04:20:57.215Z","2026-03-02T04:21:35.004Z","00:00:37.7897804"
"RentalsUnited","Livily","4216385","126961470","WorkerFriendly,washer/dryer, gym,pool, A+ location","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:40.006Z","2026-03-02T04:20:57.267Z","2026-03-02T04:21:40.006Z","00:00:42.7392253"
"RentalsUnited","Livily","4241513","126961471","6 Bedrooms + Hot Tub  + Game Room + Movie Theater","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:46.006Z","2026-03-02T04:20:57.902Z","2026-03-02T04:21:46.006Z","00:00:48.1041173"
"RentalsUnited","Livily","4241392","126961474","Rock Creek Park Residence","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:36.005Z","2026-03-02T04:20:58.653Z","2026-03-02T04:21:36.005Z","00:00:37.3526657"
"RentalsUnited","Livily","4241470","126961476","Lakefront Hot Tub  Canoes  Game Room  Wood FP","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:22:09.004Z","2026-03-02T04:20:58.739Z","2026-03-02T04:22:09.004Z","00:01:10.2659973"
"RentalsUnited","Livily","4241746","126961475","Lone Eagle Landing 2","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:45.004Z","2026-03-02T04:20:58.787Z","2026-03-02T04:21:45.004Z","00:00:46.2179488"
"RentalsUnited","Livily","4241748","126961477","Timber 12","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:52.006Z","2026-03-02T04:20:58.977Z","2026-03-02T04:21:52.006Z","00:00:53.0295512"
"RentalsUnited","Livily","4241546","126961478","@ Marbella Lane - Perfect Desert Escape","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:37.011Z","2026-03-02T04:20:59.044Z","2026-03-02T04:21:37.011Z","00:00:37.9678856"
"RentalsUnited","Livily","4241514","126961479","Big Bass Hideaway with Hot Tub","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:49.004Z","2026-03-02T04:20:59.401Z","2026-03-02T04:21:49.004Z","00:00:49.6038074"
"RentalsUnited","Livily","4241553","126961480","Marbella Lane - Serene & Spacious 3BR Haven","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:22:11.004Z","2026-03-02T04:21:00.015Z","2026-03-02T04:22:11.004Z","00:01:10.9899306"
"RentalsUnited","Livily","4241697","126961481","Marbella Lane-Cozy Luxury Townhome near Microsoft","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:39.005Z","2026-03-02T04:21:00.665Z","2026-03-02T04:21:39.005Z","00:00:38.3400541"
"RentalsUnited","Livily","4241630","126961485","@ Marbella Lane - Rainbow House | Glampers Paradise","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:41.006Z","2026-03-02T04:21:00.873Z","2026-03-02T04:21:41.006Z","00:00:40.1330091"
"RentalsUnited","Livily","4241652","126961482","Marbella Lane - Stylish Dream Home in RMV w Pool","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T19:15:27.005Z","2026-03-02T04:21:00.919Z","2026-03-02T04:22:14.005Z","00:01:13.0864356"
"RentalsUnited","Livily","4241607","126961486","Marbella Lane - Joshua Tree Bubble DOME!","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:47.005Z","2026-03-02T04:21:01.198Z","2026-03-02T04:21:47.005Z","00:00:45.8078744"
"RentalsUnited","Livily","4241611","126961491","Sea Glass Suite - Luxury in Newport","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:47.005Z","2026-03-02T04:21:01.358Z","2026-03-02T04:21:47.005Z","00:00:45.6474800"
"RentalsUnited","Livily","4241564","126961484","Marbella Lane - Captivating Home w Pool","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-03-02T04:21:43.006Z","2026-03-02T04:21:01.429Z","2026-03-02T04:21:43.006Z","00:00:41.5773107"
