uad      | dgs      | folder          | archive_reference                                                           | record_title                                                                | language_title| language| dates    | locality                                                                                                                   | record_type | volume   | event_type
106890359| 106890359| 106890359_000001| Bautismos 5 24 dic 1974–17 nov 1979 - DGS(106890359)                        | Bautismos 5 24 dic 1974–17 nov 1979 - DGS(106890359)                        | ES            | Español | 1979/1979| Santa Fortunata, Toquepala, Ilabaya, Jorge Basadre, Tacna, Perú                                                            | Bautizo     | 5        | Bautizo
106890360| 106890360| 106890360_000001| Bautismos 20 29 sep 1913–25 mar 1918 - DGS(106890360)                       | Bautismos 20 29 sep 1913–25 mar 1918 - DGS(106890360)                       | ES            | Español | 1925/1925| Inmaculada Concepción, Ubinas, General Sánchez Cerro, Moquegua, Perú                                                       | Bautizo     | 20       | Bautizo
106890361| 106890361| 106890361_000001| Bautismos 24 9 jun 1938–24 mar 1947 - DGS(106890361)                        | Bautismos 24 9 jun 1938–24 mar 1947 - DGS(106890361)                        | ES            | Español | 1947/1947| Inmaculada Concepción, Ubinas, General Sánchez Cerro, Moquegua, Perú                                                       | Bautizo     | 24       | Bautizo
106890362| 106890362| 106890362_000001| Bautismos 25 1 may 1947–12 oct 1952 - DGS(106890362)                        | Bautismos 25 1 may 1947–12 oct 1952 - DGS(106890362)                        | ES            | Español | 1952/1952| Inmaculada Concepción, Ubinas, General Sánchez Cerro, Moquegua, Perú                                                       | Bautizo     | 25       | Bautizo
106890363| 106890363| 106890363_000001| Bautismos 29 16 oct 1965–8 dic 1976 - DGS(106890363)                        | Bautismos 29 16 oct 1965–8 dic 1976 - DGS(106890363)                        | ES            | Español | 1976/1976| Inmaculada Concepción, Ubinas, General Sánchez Cerro, Moquegua, Perú                                                       | Bautizo     | 29       | Bautizo
106890364| 106890364| 106890364_000001| Confirmaciones 1 26 feb 1961–17 nov 1991 - DGS(106890364)                   | Confirmaciones 1 26 feb 1961–17 nov 1991 - DGS(106890364)                   | ES            | Español | 1961/1961| Santa Fortunata, Toquepala, Ilabaya, Jorge Basadre, Tacna, Perú                                                            | Confirmación| 1        | Confirmación
106890365| 106890365| 106890365_000001| Confirmaciones 2 15 nov 1992–11 nov 2007 - DGS(106890365)                   | Confirmaciones 2 15 nov 1992–11 nov 2007 - DGS(106890365)                   | ES            | Español | 2007/2007| Toquepala, Ilabaya, Jorge Basadre, Tacna, Perú                                                                             | Confirmación| 2        | Confirmación
106890366| 106890366| 106890366_000001| Confirmaciones 3 16 nov 2008–18 nov 2018 - DGS(106890366)                   | Confirmaciones 3 16 nov 2008–18 nov 2018 - DGS(106890366)                   | ES            | Español | 2018/2018| Toquepala, Ilabaya, Jorge Basadre, Tacna, Perú                                                                             | Confirmación| 3        | Confirmación
106890367| 106890367| 106890367_000001| Matrimonios 4 28 jul 2008–29 abr 2016 - DGS(106890367)                      | Matrimonios 4 28 jul 2008–29 abr 2016 - DGS(106890367)                      | ES            | Español | 2016/2016| Santa Fortunata, Toquepala, Ilabaya, Jorge Basadre, Tacna, Perú                                                            | Matrimonio  | 4        | Matrimonio
106890442| 106890442| 106890442_000001| Bautismos 22 17 nov 1929–9 dic 1934 - DGS(106890442)                        | Bautismos 22 17 nov 1929–9 dic 1934 - DGS(106890442)                        | ES            | Español | 1934/1934| Inmaculada Concepción, Ubinas, General Sánchez Cerro, Moquegua, Perú                                                       | Bautizo     | 22       | Bautizo
